	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18
cell line	control	control	CERT	CERT	Sec14L1	Sec14L1	control	control	CERT	CERT	Sec14L1	Sec14L1	control	control	CERT	CERT	Sec14L1	Sec14L1
tet	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus
"SM 42:2;2"	1,189112705	1,263977799	1,022216655	1,293547667	1,180369374	1,207397813	1,139364241	1,206578232	0,939964284	1,255315804	1,041911038	1,083405454	1,259026556	1,191071521	0,956628346	1,280046254	1,116372994	1,270712136
"SM 42:1;2"	0,198837911	0,202297055	0,208782158	0,307229807	0,20859819	0,214701305	0,176263668	0,201016966	0,16959917	0,275020862	0,168036187	0,17472065	0,192377889	0,198992539	0,186040113	0,286027054	0,183105489	0,202388621
"SM 44:2;2"	0,004732585	0,004886316	0,002784384	0,002526572	0,006835523	0,004848977	0,006873481	0,002685916	0,002935324	0,005379437	0,001085676	0,003824599	0,003115751	0,00473751	0,000261637	0,004019607	0,00228864	0,001120621
"SM 44:1;2"	0	0	0	0,000171959	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PC 28:0	0,067621211	0,071215666	0,063103454	0,057947121	0,063080102	0,063406582	0,068715711	0,069416819	0,057359457	0,052422879	0,052654399	0,054265858	0,070550423	0,068731578	0,056387523	0,056405006	0,057962795	0,033319806
PC 30:2	0,00485285	0,009963774	0,013228027	0,00533856	0,010344015	0,006479751	0,004666829	0,007135117	0,006516548	0,006470416	0,002876387	0,005202303	0,007003099	0,008186097	0,009878572	0,007870122	0,005443167	0,0005698
PC 30:1	0,199256255	0,219673943	0,19753675	0,188622471	0,207821467	0,202802836	0,210125059	0,213362117	0,191460331	0,180145976	0,178763952	0,183015162	0,22528318	0,215323192	0,182027614	0,18851493	0,19655033	0,19126764
PC 30:0	1,468695586	1,581630734	1,463550907	1,271654501	1,5051941	1,443578415	1,531978698	1,59468069	1,371090204	1,269970576	1,310256642	1,366960438	1,603355191	1,517450617	1,376302396	1,303738043	1,341892603	1,45503736
PC 32:4	0,005317509	0,005228774	0,009212206	0,002588285	0,013417431	0,00704812	0,008455547	0,010669063	0,00844204	0,011916626	0,013642075	0,008246902	0,008024727	0,009338816	0,012872644	0,009831013	0,009959044	0,002624756
PC 32:3	0,091346043	0,097694715	0,103737953	0,072346278	0,118099846	0,096360387	0,105935978	0,126753026	0,105506869	0,120012319	0,125422883	0,106493626	0,100943282	0,117924041	0,136774601	0,115939497	0,104492939	0,082045771
PC 32:2	0,492207166	0,514508737	0,526236058	0,499747721	0,517165304	0,508776803	0,515865205	0,524308194	0,478332454	0,453795565	0,45224434	0,472094939	0,592279625	0,539450436	0,508411978	0,499804528	0,514772326	0,54005408
PC 32:1	4,564195825	4,699731621	4,758029378	4,383146409	4,717654985	4,561720486	4,579947533	4,581491483	4,438803457	4,011764837	4,16936468	4,151987391	4,950594293	4,58515089	4,533052716	4,314085363	4,481485151	4,596457916
PC 32:0	2,700010753	2,848404412	2,612797853	2,06481968	2,688313938	2,571965012	2,908863254	3,057745142	2,812491906	2,514745013	2,625783153	2,732104642	2,620625026	2,590043408	2,502954011	2,257155493	2,329828276	2,622448014
PC 34:5	0,054217962	0,054991177	0,067893832	0,047957258	0,071524457	0,061613506	0,060938486	0,070716018	0,066009793	0,076701655	0,075136056	0,058957441	0,062117754	0,064598256	0,084587514	0,073342689	0,070462194	0,046268174
PC 34:4	0,26525913	0,277561771	0,312038086	0,220065659	0,371975387	0,298990394	0,334520243	0,396077227	0,369478581	0,403308542	0,437242323	0,348159988	0,322395998	0,341213478	0,470193693	0,395217299	0,374342038	0,409444718
PC 34:3	0,384392845	0,406195071	0,448101763	0,386826422	0,455610933	0,414188598	0,466377597	0,51810783	0,444952269	0,488580414	0,477938406	0,452374426	0,469041814	0,471124404	0,50175785	0,448465008	0,441050559	0,483095108
PC 34:2	3,073731983	3,139996487	3,134355703	3,070699027	3,152450453	3,170838738	3,221668666	3,224901514	3,075057727	2,839772111	2,910769139	2,976342975	3,481247333	3,266967543	3,140650622	3,053436409	3,196848585	3,299698201
PC 34:1	15,27306891	15,7303937	15,87183661	14,44483921	15,83330945	15,442547	15,00800368	15,01796276	14,71935307	13,41822295	13,9185409	13,98458228	15,84331733	14,89926462	14,80304526	14,06557875	14,52233549	15,08233294
PC 34:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,002052167
PC 36:6	0,084814128	0,089908841	0,13321566	0,104715056	0,114727617	0,104294596	0,097050217	0,103020209	0,102303674	0,125473828	0,100207729	0,100980045	0,109604095	0,111517988	0,114498557	0,108375525	0,106016372	0,08946641
PC 36:5	0,839993315	0,846409751	1,042885779	0,994477138	1,027661037	0,996573898	0,976580296	1,028323876	1,055320414	1,064994046	1,030411106	0,993720247	1,151467687	1,111535576	1,24660997	1,181767755	1,13879147	1,15685543
PC 36:4	2,287435995	2,305307092	2,735642612	2,471502947	3,022839977	2,797131293	3,102302866	3,311098915	3,500269753	3,449624054	3,631131267	3,386586111	3,226747146	3,157417653	4,008289073	3,677397218	3,73615993	3,78173643
PC 36:3	1,04610389	1,061464697	1,044560444	1,088819814	0,986177547	1,079815879	1,11119139	1,104207514	1,055089682	0,98080596	0,907459193	0,99217535	1,19156945	1,127550728	1,026960801	1,046903447	1,002070445	1,050738119
PC 36:2	4,985047587	5,115391093	4,902095737	4,737069866	4,572924724	4,632695621	4,32138581	4,34537588	4,127539248	3,836003923	3,725364285	3,780178577	4,678912632	4,443779903	4,138812289	4,01610681	3,85402513	4,058477322
PC 36:1	0,840114025	0,815194562	0,936392013	0,665790274	0,915330886	0,829628558	0,913446442	0,873848849	0,985405676	0,783312965	0,83858735	0,848974791	0,91960225	0,868399758	0,971425604	0,822101116	0,866548476	0,920549728
